=== Ver3 GUI Log Started at 2025-10-09 17:30:13 ===
[2025-10-09 17:47:42] [WARNING] XRP: No position data found - P&L will show 0%
[2025-10-09 17:47:47] [WARNING] XRP: No position data found - P&L will show 0%
[2025-10-09 17:47:53] [WARNING] XRP: No position data found - P&L will show 0%
[2025-10-09 17:47:58] [WARNING] XRP: No position data found - P&L will show 0%
[2025-10-09 17:48:03] [WARNING] XRP: No position data found - P&L will show 0%
[2025-10-09 17:48:09] [WARNING] XRP: No position data found - P&L will show 0%
[2025-10-09 17:48:14] [WARNING] XRP: No position data found - P&L will show 0%
[2025-10-09 17:48:19] [WARNING] XRP: No position data found - P&L will show 0%
[2025-10-09 17:48:25] [WARNING] XRP: No position data found - P&L will show 0%
[2025-10-09 17:48:30] [WARNING] XRP: No position data found - P&L will show 0%
[2025-10-09 17:48:35] [WARNING] XRP: No position data found - P&L will show 0%
[2025-10-09 17:48:40] [WARNING] XRP: No position data found - P&L will show 0%
[2025-10-09 17:48:46] [WARNING] XRP: No position data found - P&L will show 0%
